,L,l,D,%,.,:,=,<,>,"""",#," "" """,!,"""U""","""I""","""D""",+,-,*,/,(,),{,},_,;,nl,tab,",",otro,$
0,1,6,7,error,9,2,3,5,5,15,16,0,error,1,1,1,F,4,F,F,F,F,F,F,F,error,0,0,F,error,F
1,1,F,1,1,F,F,F,F,F,F,F,F,F,1,1,1,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
2,error,error,error,error,error,error,F,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,F
3,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
4,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
5,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
6,F,6,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
7,error,error,7,error,10,error,error,error,error,error,error,error,error,8,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,F
8,error,error,error,error,error,error,error,error,error,error,error,error,error,error,F,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,F
9,F,F,11,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
10,F,F,11,F,F,F,F,F,F,F,F,F,F,F,F,12,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
11,F,F,11,F,F,F,F,F,F,F,F,F,F,F,F,12,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
12,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,13,13,error,error,error,error,error,error,error,error,error,error,error,error,F
13,error,error,14,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,F
14,F,F,14,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
15,15,15,15,15,15,15,15,15,15,F,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,error,15,15,15,F
16,error,error,error,error,error,error,error,error,error,error,17,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,F
17,17,17,17,17,17,17,17,17,17,17,18,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,F
18,17,17,17,17,17,17,17,17,17,17,F,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,F
